Rank,Académicos/Trabajo/Desarrollo Profesional,Vida Familiar y Doméstica,Finanzas,Salud Mental,Salud Física,Situaciones Sociales,Relaciones Románticas,Otro 
1,"Si has pospuesto una tarea porque te parece abrumadora, intenta dividirla en pasos más pequeños y manejables.","En interacciones difíciles, concéntrate en lo que puedas controlar y define tus objetivos en términos de cómo abordas la situación. Recuerda que no puede controlar cómo se sienten y actúan otras personas.","Si te enfrentas dificultades financieras, date un paso atrás y trata de identificar sobre qué tienes control (y sobre qué no). Por ejemplo, puedes crear un presupuesto y realizar un seguimiento de tus gastos en el futuro, aunque es posible que no puedas devolver algo que ya compraste.","Si te sientes ansioso o nervioso, pregúntate: ""¿Qué me dice mi cerebro ansioso?"" Una vez que puedas identificar ese pensamiento, pregúntate: ""¿Es esto realista?""","Si notas que tu corazón se acelera o tienes problemas para respirar, pregúntate si podría haber una explicación perfectamente inofensiva de por qué tu cuerpo reacciona de esa manera (por ejemplo, ¿acabas de subir un tramo de escaleras?).","Cuando sientas que los demás te están juzgando negativamente, observa si los hechos de la situación apoyan esa emoción (por ejemplo, probablemente te estén mirando porque están escuchando lo que dices, no porque piensen que eres feo)","Si has pospuesto una tarea porque te parece abrumadora, intenta dividirla en pasos más pequeños y manejables.","¿Sabías que nuestros cerebros ansiosos son particularmente buenos para recordar cosas malas del pasado? Si reconoces que te estás concentrando en recuerdos negativos del pasado, intenta desafiarte a recordar también algunos momentos felices."
2,"Identifique el contexto de su situación preguntándote: ""¿Cuál es el desafío al que me enfrento?"" Hacer esto explícito puede ayudarle a reconocer sus objetivos y los pasos necesarios para alcanzarlos.",Está bien si necesitas un descanso de tus seres queridos. Date el espacio que necesites para recargar energías.,"Tómate 15 minutos para trabajar en un aspecto de tu presupuesto que te cause estrés. Luego planifica algo agradable para hacer después.","Trata de poner una etiqueta específica a tus sentimientos (¿estás triste, enojado, disgustado, nervioso, aterrorizado, etc.?); los sentimientos son más fáciles de manejar cuando podemos describirlos completamente.","Antes de volver a buscar la misma pregunta sobre tu salud en línea, pregúntate si realmente estás buscando nueva información o simplemente estás volviendo a verificar algo. Reduce el tiempo dedicado a volver a comprobar.",Trata de imaginarte a ti mismo como un extraño observando tu conversación. Pregúntate si pensaría en cómo te está yendo de la misma manera que a ti. ,"A veces es útil tomar unos minutos para refrescarte si estás molesto con tu pareja. Trata de tomar un descanso de discutir durante 5 minutos, y luego vuelvan juntos a hablar sobre el tema. ","Dedica algo de tiempo a identificar tus objetivos y valores. Pregúntate: ¿qué es importante para mí en términos de mi trabajo, relaciones, educación, participación comunitaria, etc.? Anota diferentes formas en las que puedes actuar de acuerdo con estos valores en tu vida diaria."
3,"Cuando te sientas estancado, elige un pequeño paso que creas que puedes dar y empieza con eso.","Es útil recordar que cada uno tiene una perspectiva diferente. Si tienes dificultades para comprender por qué un ser querido actúa de cierta manera, intenta considerar la situación desde su perspectiva.","Identifica aspectos específicos de tus finanzas que te estén causando estrés y establece objetivos para gestionar mejor esos factores estresantes (por ejemplo, si tu presupuesto te está causando estrés, busca en Google herramientas de elaboración de presupuestos que te faciliten ese proceso).","Intenta identificar los TEB en tu situación: ¿Qué PENSAMIENTOS tienes? ¿Qué EMOCIONES estás sintiendo? ¿Qué COMPORTAMIENTOS estás realizando? Después de eso, piensa si puedes cambiar tus pensamientos o tu comportamiento para sentirte mejor.","Cuando experimentes una sensación corporal incómoda (por ejemplo, el corazón acelerado o las palmas sudorosas), simplemente siéntate con esa sensación por un momento antes de reaccionar. Estas sensaciones suelen pasar rápidamente sin ninguna intervención.","Antes de pasar el rato con alguien, planifica algunos temas de conversación para mencionar durante tu conversación.","Usa frases en primera persona (Yo siento ___ porque ___) cuando comunicas tus emociones a tu pareja. Y, trata de no usar declaraciones ""tú"" (Estás siendo). ",
4,"Si una tarea en particular te parece desalentadora, elige un momento determinado del día en el que te sientas más motivado para intentar completarla.","A menudo, establecer límites mejora las relaciones.",Haz una lista de actividades que disfrute y que no cuesten dinero.,"Todas las emociones tienen un propósito. Nos cuentan lo que sucede en nuestras vidas y nos ayudan a motivarnos. Incluso los sentimientos negativos, como el miedo y la ansiedad, nos ayudan a navegar por el mundo que nos rodea.","Establece una fecha y hora en la que tomarás una decisión sobre si necesitas consultar a un médico (por ejemplo, si todavía me siento mal dentro de 3 días, haré una cita).","Cuando estés enojado o molesto por cualquier situación, deja que esa emoción vaya y venga. En lugar de tratar de alejarla, permítete reconocer y sentir profundamente tus emociones de manera segura. ","Si tienes un desacuerdo con tu pareja, considera reconocer tus diferencias y cómo pueden afectar la forma en que reaccionas ante las situaciones. ",
5,"Date algo que esperar después de estudiar o trabajar, como ver una película o cenar con amigos.","Cuando enfrentes una situación difícil, trata de encontrar una manera de manejarla que te parezca adecuada, independientemente de cómo resulten las cosas.",Escribe dónde entra y sale su dinero y observa dónde te pueden hacer ajustes para que tus finanzas sean más manejables.,"Prueba el método STOPP: S-Stop y pausa por un momento. T- Toma un respiro. O- Observa lo que estás sintiendo. P- Retroceder y poner la situación en perspectiva. P- Practica lo que funciona, haz algo que disfrutes/algo que te calme.",Dormir lo suficiente puede marcar una gran diferencia en cómo te sientes tanto físicamente como mentalmente.,Pregúntale a un amigo o familiar si puedes confiarle sobre una interacción incómoda. Ve si puede darte información desde el punto de vista de un extraño. ,"Leer la mente puede ser tentador cuando no estás de acuerdo con una pareja. En lugar de asumir que sabes lo que piensa pareja está pensando, trata de hacer preguntas sobre su perspectiva. ",
6,Prueba el método Pomodoro: tómate un descanso de 5 minutos cada 30 minutos de trabajo para que tu mente rejuvenezca.,"Usa declaraciones en primera persona (siento ___ porque ___) cuando comuniques tus emociones a un ser querido.","Cuando sientas la necesidad de comprar algo que no puedes pagar, presta atención a cómo se siente la necesidad y practica tolerar las sensaciones hasta que pasen.","Todos los sentimientos pasan. Cuando sientas que un sentimiento negativo (como la tristeza o el miedo) nunca terminará, recuérdate suavemente que este sentimiento eventualmente pasará.","Si sientes malestar físico, intenta notar y nombrar lo que sientes. Recuerda que el malestar suele pasar o disminuir con el tiempo.","Planea salir de tu zona de confort, aunque sea de una manera pequeña. A veces es útil pedirle a otra persona, como un amigo o un ser querido, que te ayude a rendir cuentas. ","Si te sientes enojado durante una conversación con tu pareja, trata de expresar tus pensamientos y sentimientos con calma en lugar de gritar o hacer acusaciones. ",
7,"Antes de comenzar a estudiar/trabajar, tómate un momento para anotar cómo te sientes y qué objetivos puedes alcanzar en función de cómo te sientes.",Piensa en algo acerca de un ser querido por el que estés agradecido y en cómo eso te ha afectado positivamente.,"Si hay alguien (amigo, familiar, colega, asesor/jefe, etc.) con quien te sientes cómodo confiándole su situación financiera actual, pregúntale si puedes hablar con él sobre cómo te sientes y si puede ofrecerte algún consejo.",Observa los pensamientos que tienes cuando sientes una emoción negativa y determina si esos pensamientos reflejan con precisión la realidad de la situación.,Recuerda que investigar tus síntomas de salud en Internet a menudo puede provocar una espiral de ansiedad. Intenta preguntarle a un amigo cercano si puedes confiarle cómo te sientes.,"En lugar de centrarte solo en los momentos negativos que has pasado con tus amigos, piensa también en los positivos. Recuérdate a ti mismo todas las veces en las que han sonreído y reído juntos. ","Si te has sentido molesto en tu relación, trata de expresar claramente a tu pareja lo que necesitas o cómo te sientes, mientras estás abierto a su perspectiva. ",
8,"Si te sientes estancado o abrumado, pregúntale a alguien cercano a ti si puedes hablar con él sobre cómo te sientes y ver si puede ofrecerte algún consejo.","Si no te sientes apoyado por tu familia en casa, ve si puedes comunicarte con algún amigo que pueda brindarte el apoyo que cree que necesitas.","Cada semana, disfruta de una actividad divertida que no requiera dinero, como salir a caminar.","La tristeza es una respuesta natural cuando no podemos controlar una situación o hemos experimentado una pérdida. Si te sientes triste, intenta descubrir qué está causando ese sentimiento.",Piensa en momentos de tu pasado en los que estuviste preocupado por un aspecto de tu salud física que terminó siendo perfectamente normal.,"Cuando tengas ganas de compararte con otras personas en tu vida, trata de hacerte un cumplido. ",Comunícale a tu pareja cómo te sientes y lo que crees que podrías necesitar de el/ella para sentirte mejor. ,
9,"Cuando te sientas abrumado por una determinada tarea, recuerda todo lo que ya has hecho y siéntete orgulloso de lo que has logrado, aunque haya sido un pequeño paso.","Encuentra una actividad que te ayude a sentirte conectado con alguien que te importa y que se preocupa por ti.","Cuando te sientas abrumado, pregúntale a alguien de tu sistema de apoyo si puede ayudarte a pensar en formas de administrar tus finanzas.","Acepta las emociones que tienes en lugar de juzgarte por tenerlas.","Si notas que no te sientes bien, recuerda que hay una variedad de razones de bajo riesgo por las cuales podrías sentirte así (por ejemplo, tal vez estés cansado o hayas comido algo que te cayó mal, etc.).",Piensa en algo positivo que haya pasado cuando interactuaste con alguien hoy y saborea cómo te sentiste durante esa experiencia. ,"Si tu pareja romántica está molesta, trata de preguntarle qué podría necesitar de ti en ese momento.",
10,"Si algunos aspectos de tu carrera te resultan abrumadores, recuerda que no necesitas tenerlo todo resuelto ahora mismo. Sólo puedes controlar lo que estás haciendo en el momento presente.","Si sientes nostalgia, programa una llamada con tus seres queridos para mantenerte en contacto.","Las personas provienen de diferentes orígenes socioeconómicos. Si te sientes presionado a gastar tanto dinero como tus amigos, recuerda que no es necesario.","Cuando estés estresado o molesto, trata de concentrarte en tus cinco sentidos: observa 5 cosas que puedas ver, 4 cosas que puedas sentir, 3 cosas que puedas oír, 2 cosas que puedas oler y 1 cosa que puedas saborear.","Es posible que en este momento sientas algo de dolor en tu cuerpo. Recuerda que el dolor fluye y refluye, y que probablemente no será tan intenso para siempre.","Si notas que repites una interacción desde temprando en el día una y otra vez, puede ser útil distraerte con una actividad agradable o relajante, como ver la televisión o jugar con una mascota. ",Trata de imaginar algo desde el punto de vista de tu pareja. ,
