Rank,Academics/Work/Career Development,,Family and Home Life,,Finances,,Mental Health,,Physical Health,,Social Situations,,Romantic Relationships,,,,,,,,,,,,,,,,,Social Situations,,,,,Discrimination/Microaggressions,,,
,Resource,Text in App,Resource,Text in App,Resource,Text in App,Resource,Text in App,Resource,Text in App,Resource,Text in App,Resource,Text in App,,,,,,,,,,,,Resource Name,Resource Link/Contact,Text in App,,Subdomain,Resource Name,Resource Link/Contact,Text in App,,Subdomain,Resource Name,Resource Link/Contact,Text in App
1,Virginia Workforce Connection,Virginia Workforce Connection is your gateway to employment and labor market information in Virginia.,Healthy Families of Charlottesville/Albemarle,Healthy Families fosters nurturing family relationships for pregnant moms and safe environments for young children through regular home visiting.,Tools from UVA Community Credit Union,"Interested in learning about managing your money, investing, or even buying a house? Attend a free, one-hour seminar through UVA Community Credit Union ",UMA Primary Care Physician,Talk to your primary care physician about ways to work through mental health concerns. You are not alone,VDH Physical Activity Recommendations,Visit the Virginia Department of Health Physical Activity site for physical activity information and recommendations.,Events in Virginia,Virginia is home to countless events and festivals no matter what the season. Mark your calendar and make this a year to remember.,National Healthy Marriage Resource Center ,The Natioanl Healthy Marriage Resource Center offers a variety of resources to help married couples develop a healthier relationship. ,,,,,,,,,,,,Sexual Assault Resource Agency,https://saracville.org,"The Sexual Assault Resource Agency (SARA) provides free, confidential support services for survivors of all genders.   ",,Shared Interests or Identities,Events in Virginia,https://www.virginia.org/events/,Virginia is home to countless events and festivals no matter what the season. Mark your calendar and make this a year to remember.,,Community Support ,Womens Initiative -- Sister Circle,https://thewomensinitiative.org/sister-circle,"Sister Circle offers a social support group to meet the needs of people from across the African diaspora who identify as women in various ways: one of which being, recognizing the unique mental health challenges and trauma created by anti-Black racism and systemic oppression of BIPOC individuals."
2,How to Handle Conflict at Work,You don't have to figure out workplace conflict alone; a team of conflict-resolution experts have assembled tips to help you face workplace conflict head-on.,REAL Dads,"REAL Dads coaches incarcerated fathers and fathers who want a stronger relationship with their children to have Responsible, Empowered, Available and Loving relationships with their families.",Financial Resources,This comprehensive list cultivated by the UVA Faculty and Employee Assistance Program (FEAP) can help you meet your financial needs. ,988,"The 988 Lifeline provides 24/7, free and confidential support for people in distress, prevention and crisis resources for you or your loved ones, and best practices for professionals in the United States.",How to Be More Active,"Here are some simple ideas to build more activity into your day, tips to stick with it and free exercise plans to help you get going.
",,,The Gottman Institute,"The Gottman Institute is focused on improving the well-being of marriages, families, and relationships through a research-based approach. ",,,,,,,,,,,,myPlan App,https://www.myplanapp.org/,"A free app to help with safety decisions if you, or someone  you care about, is experiencing abuse in their intimate relationship.  It’s private, secure, personalized, & backed by research.",,,,,,,,,,
3,Virginia Career Works,Virginia Career Works is Virginia’s vital link between meaningful employment and growing businesses. Learn more about what they provide.,Region Ten Child and Family Services,"The Child and Family Services center provides prevention, substance use and mental health services to the children and families in our community. The goals of these services are to help families build resiliency and keep children/youth safely in their homes and communities when possible.",FEAP Food Resources,"Food assistance, delivered food resources.",Partner for Mental Health,"Looking for mental illness support, referrals, or educational opportunities? Check out this resource that stands up for the rights and dignity of those with mental illness as they engage in treatment or in the justice system, while supporting creative solutions to interpersonal and legal challenges caused by mental illness. ",Getting Active,"The American Heart Association has the tools and resources to get you on the right path to a healthier lifestyle.
",,,,,,,,,,,,,,,,The National Domestic Violence Hotline,https://www.thehotline.org/,"Everyone deserves healthy relationships. When you're ready, we're here to listen. ",,,,,,,,,,
4,How to Handle Conflict in the Workplace,Learn about some practical strategies you can use to handle conflict in the workplace with UCSD.,Virginia Association of Community Service Boards - CSB Directory,Use this Community Service Board directory to find locally-provided mental health services in your area. ,FEAP Housing and Utilities Resources,Resources available in the Charlottesville and Albemarle County area.,The Counseling Alliance of Virginia (CAVA),"Check out CAVA for counseling needs regarding the impact of mental illness, substance abuse, trauma, and/or other life stressors. CAVA offers a variety of clinical specialists who practice several different approaches to treatment. ",What Doctors Wish Patients Knew About Increasing Physical Activity,"This installment of the AMA’s ""What Doctors WIsh Patient's Knew"" discusses what patients need to know about physical activity.",UVA Employee Volunteer Resource Hub,Volunteering can offer a great opportunity to connect with other people across your community. The UVA Employee Volunteer Resource Hub provides a variety of volunteering opportunities within Charlottesville and beyond. ,,,,,,,,,,,,,,988,https://988lifeline.org/,"The 988 Lifeline provides 24/7, free and confidential support for people in distress, prevention and crisis resources for you or your loved ones, and best practices for professionals in the United States.",,,,,,,,,,
5,stickK,"By asking users to sign Commitment Contracts, stickK helps users define their goal (whatever it may be), acknowledge what it’ll take to accomplish it, and leverage the power of putting money on the line to turn that goal into a reality.",Virginia Department of Social Services,"VDSS is one of the largest Commonwealth agencies, partnering with 120 local departments of social services, along with faith-based and non-profit organizations, to promote the well-being of children and families statewide.",FEAP Transportation Resources,Bus and other transportation services.,Region Ten,"Looking for mental health support? Region Ten offers several services for mental health, including case management, intellectual disability, substance use, rehabilitation, and counseling. ",Physical Activity Basics,"Regular physical activity is one of the most important things you can do for your health. Learn more about it here.

",,,,,,,,,,,,,,,,Shelter for Help in Emergency (SHE),https://www.shelterforhelpinemergency.org,The Shelter for Help in Emergency (SHE) offers trauma-based resources for survivors of domestic violence and aims at creating a community of empowerment and support. ,,,,,,,Self-Care and Wellness Guides,BIPOC Mental Health and Wellness Resources ,,Check out the comprehensive guide for BIPOC mental health and wellness resources located in the on-demand resources library. 
6,A How-to Guide for Setting Better Goals,"Setting your own goals can be done in just four simple steps, outlined in this blog.","Child Youth, and Family Services Offices in Virginia","Search here to find Virginia's child, youth, and family services offices.",FEAP Clothing Resources,Looking for discounted or affordable clothing? Check out this list of local clothing resources. ,Central Virginia Clinicans of Color Network (CVCCN),CVCCN is a supportive network that empowers clinicians of color and builds capacity for providing culturally responsive mental health treatment.,FEAP Aging Resources,Resources for aging needs including temporary in-home care.,,,,,,,,,,,,,,,,myPlan App,https://www.myplanapp.org/,"A free app to help with safety decisions if you, or someone  you care about, is experiencing abuse in their intimate relationship.  It’s private, secure, personalized, & backed by research.",,,,,,,,LGBTQ+ Mental Health and Wellness Resources ,,Check out the comprehensive guide for LGBTQ+ mental health and wellness resources located in the on-demand resources library.
7,Contact Your HR Department,Don't hesitate to reach out to your Human Resources department when faced with workplace conflict; you are not alone. ,FEAP Clothing Resources ,"FEAP offers resources for general clothing, maternity and baby clothing, and laundry services. ",UMA Social Worker,Contact a social worker through UMA to help with food and housing needs.,Virginia Association of Community Service Boards - CSB Directory,Use this Community Service Board directory to find locally-provided mental health services in your area. ,5 Easy Ways to Get More Active,"This site outlines 5 easy ways to start and sustain a more active lifestyle that have been tested in countless research studies.

",,,,,,,,,,,,,,,,National Healthy Marriage Resource Center ,http://www.healthymarriageinfo.org,The Natioanl Healthy Marriage Resource Center offers a variety of resources to help married couples develop a healthier relationship. ,,,,,,,,Sister Circle Presents...10 Self-Care Tips for Black Women,https://static1.squarespace.com/static/50a50853e4b013b04b89ffc5/t/5ed80f43b6b8fc226c25e275/1591218015612/2020-06+Sister+Circle+Self-Care+Tips.pdf,Looking to engage in some self-care? Here's 10 ways you can!
8,,,FEAP Housing and Utlility Resources ,"FEAP offers resources for renting, affordable housing, and utilities. ",Food Stamp Offices in Virginia,Search here to find Virginia's food stamp offices.,FEAP Positive Psychology,A FEAP counseling with a Positive Psychology Practitioner can provide you with information on the field of Positive Psychology and how you can learn to thrive more in your life.,Virginia Family Nutrition Program,The Virginia Family Nutrition Program (FNP) empowers Virginians to take charge of their health by eating healthy and living an active lifestyle. We teach limited resource households how to make healthier food choices and become better managers of available food resources for optimal health and growth.,,,,,,,,,,,,,,,,The Gottman Institute,https://www.gottman.com/about/,"The Gottman Institute is focused on improving the well-being of marriages, families, and relationships through a research-based approach. ",,Events & Volunteering,Events in Virginia,https://www.virginia.org/events/,Virginia is home to countless events and festivals no matter what the season. Mark your calendar and make this a year to remember.,,,Tool Kits & Resources from the Black Emotional and Mental Health Collective ,https://www.beam.community/tool-kits-education,Explore different ways that you can care for your emotional and mental health
9,,,FEAP Food Resources,"FEAP offers resources for food banks and public meal programs, delivered food resources, and state food assistance. ",211,"Call 211 for essential community services; 211 connects you to expert, caring help. Every call is completely confidential.",How to Stress More Effectively,Learn about how you can think about stress more positively,Healthy Eating for a Healthy Weight,An eating plan that helps promote health and manage your weight includes a variety of healthy foods. Learn more about creating the ideal eating plan for you. ,,,,,,,,,,,,,,,,,,,,,UVA Employee Volunteer Resource Hub,https://hr.virginia.edu/time/volunteer-center,Volunteering can offer a great opportunity to connect with other people across your community. The UVA Employee Volunteer Resource Hub provides a variety of volunteering opportunities within Charlottesville and beyond. ,,Allyship,Talking About Race,https://nmaahc.si.edu/learn/talking-about-race,Conversations about race are important -- here's how you can do them right.
10,,,UMA Social Worker,Contact a social worker through UMA to help with security needs.,Financial Wellness: Shifting from How Much You Have to How You Use It,Learn about what financial wellness means and how to achieve it in your own life ,Cultivating Optimism,Optimism is good for you -- and for those around you. Learn how to cultivate it!,Nutrition Counseling:,Meet with a Registered Dietitian for individualized guidance on how to nourish yourself.,,,,,,,,,,,,,,,,,,,,Safety,myPlan App,https://www.myplanapp.org/,"A free app to help with safety decisions if you, or someone  you care about, is experiencing abuse in their intimate relationship.  It’s private, secure, personalized, & backed by research.",,,The Guide to Allyship,https://guidetoallyship.com/?fbclid=IwAR1TfKMWgVCGshdjbJaT7z5ZgVPGa76i0mzOmSVmzOgEdosOJ0j4UPFKOcQ,Interetsed in learning what it takes to be an effective ally? Here's a guide. 
11,,,Food Stamp Offices in Virginia,Search here to find Virginia's food stamp offices.,,,FEAP Virtual Resources for Stress Management ,Check out these resources to help support your mental and emotional wellness.,VDH Family Planning Resources,Visit the Virginia Department of Health Family Planning site for information and services related to reproductive health.,,,,,,,,,,,,,,,,,,,,Safety,Virginia Department of Criminal Justice Services,https://www.dcjs.virginia.gov/law-enforcement/programs/criminal-justice-directory,"Find law enforcement agencies by
name, type, or location.",,,How Organizations Can Support the Mental Health of Black Employees,https://hbr.org/2020/06/how-organizations-can-support-the-mental-health-of-black-employees,Here's how you can support the mental health of your colleagues that identify as Black
12,,,Piedmont Hospice,Hospice of the Piedmont is a community-based nonprofit hospice that has offered expert care and peaceful resolution to Virginia families for over 40 years.,,,Women's Initiative,"Through the Women's Initiative, the Sister Circle program aims to address the needs of Black women living in Charlottesville.",UMA Primary Care Physician,Don't hesitate to talk to your primary care physician about your physical health.,,,,,,,,,,,,,,,,,,,,,,,,,,Workplace Mental Health for Asian American Professionals,https://www.mindsharepartners.org/post/workplace-mental-health-for-asian-american-professionals-featuring-insights-from-employees-at-adobe,Learn about the challenges that people who identify as Asian American face in the workplace -- and how they overcome them 
13,,,,,,,UCSD Mindfulness & Compassion Resources,"The UC San Diego Center for Mindfulness resource page offers the various resources, in the form of information and links, in their continued efforts to provide individual and community support. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,How to Support Asian American colleagues amid the recent wave of anti-Asian violence ,https://www.cnbc.com/2021/02/19/how-to-support-asian-american-colleagues-amid-anti-asian-violence.html,Here's how you can support your colleagues that identify as Asian American
14,,,,,,,Compassionate Care Initiative,"The UVA School of Nursing’s Compassionate Care Initiative (CCI) offers ongoing, weekly sessions on mindfulness meditation, mindful movement, yoga, and more. All drop-in sessions are free; no registration or previous experience required!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,UVA Mindfulness Center,"Check out the Mindfulness Center for meditation and other stress-reduction online classes, events, recordings, and resources. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,UVA Contemplative Sciences Center,Check out the CSC for various yoga and mindfulness courses. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
