Broad Domain 1,Broad Domain 2,Broad Domain 3,Type,Title,Body,Body #2,Comprehension,Correct response,Incorrect response,Photo Url,Photo Name,Letters Missing,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Positive,Esta reunión,"Estás caminando a una reunión importante con tu jefe. De repente, tu mente se queda en blanco y piensas que esto es normal.",N/A,¿Te da miedo que tu mente se quedó en blanco antes de tu reunión?,No,,https://drive.google.com/file/d/1v_4FGXs96Yggu3t319aUfGuvOfo--Ji7/view?usp=sharing,1.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Positive,Una presentación grande,Estás a punto de dar una presentación importante. Te sientes ansioso al respecto. Esta sensación te hace sentir emocionado.,N/A,¿Te sientes emocionado por la presentación?,Sí,,https://drive.google.com/file/d/1Isymza3G0kL57wzhqwxZgxIn5utKL9wO/view?usp=sharing,2.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,,,Resilience/Negation,Oportunidad nueva,Estás en el trabajo y te enteras de que surgió una oportunidad de ascenso en tu departamento. Piensas que podrías ser elegible y decides preguntarle a tu jefe por más detalles. Tu jefe te dice que los criterios de selección son muy estrictos y que es probable que tu aplicación sea rechazada.,"Al día siguiente, te encuentras con tu jefe en el pasillo. Te das cuenta de que aunque tu jefe piensa que es posible que aún no estés listo para un ascenso, él cree firmemente que eres capaz de estar listo para uno el próximo año y es probable que tengas éxito.",Tu jefe piensa que no deberías aplicar para un ascenso ahora porque...,Estarás listo para uno el próximo año.,Nunca serás capaz.,https://drive.google.com/file/d/1OpOhL2p65K4b_HCgRQpLm16ZlkzUCe2s/view?usp=sharing,3.jpg,1,`
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Un tropiezo repentino,"Es tu primer día en un trabajo nuevo y vas a hablar con tu jefe. Al caminar hacia el, te tropiezas y luego te recuperas. Se dio cuenta y su primera impresión de ti probablemente es que estás muy preparado para el trabajo.",N/A,Tu jefe probablemente piensa que...,Estás listo para enfrentar desafíos.,Eres una persona torpe.,https://drive.google.com/file/d/1DttLONiIj8xl29lRpUM8ExKkKo4JbVNe/view?usp=sharing,4.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Negative,Mostrar tu experiencia,"Tu supervisor llama a una reunión relacionada a una nueva iniciativa y pide a cada asistente que presente sus ideas y experiencia previa. Cuando es tu turno de hablar, haces pausas con frecuencia. Al reflexionar sobre la reunión más tarde en el día, sientes que el supervisor pensó que sonabas tonto.",N/A,Es probable que tu supervisor te haya encontrado...,sin preparación y deficiente.,Eficaz.,https://drive.google.com/file/d/1npkE7h685FSS9kM33IyEeOyngro5KOvm/view?usp=sharing,5.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,Salud Mental,,Positive,Puerta cerrada,"Llegas a casa del trabajo un viernes por la noche y te preguntas si has cerrado la puerta de la oficina. Normalmente cierras la puerta con llave, pero todavía te sientes ansioso sin saberlo con seguridad. Tu fin de semana fuera de la oficina será agradable.",N/A,Durante el fin de semana vas a...,Descansar y pasar tiempo con amigos o familiares.,Preocuparte por si cerraste la puerta con llave.,https://drive.google.com/file/d/1qii6Tw7lK46f_BUds8kymQOtUEDhZqjV/view?usp=sharing,6.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,Listo para trabajar,"Tienes muchas tareas que tienes que entregar mañana. Has estado postergando hacerlas porque van a ser difíciles. Cuando piensas si podrás hacer el trabajo, piensas que puedes.",N/A,¿Vas a completar tu tarea?,Sí,,https://drive.google.com/file/d/1ctfYI6TZJr5mbm-BjK9jNskpLStAn1mj/view?usp=sharing,7.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Resilience/Negation,Comentarios sobre tu trabajo,"Recientemente entregaste un informe y tu jefe te pide que lo veas para hablar sobre tu trabajo. Cuando entras a su oficina, te dice que te sientes porque hay muchos comentarios que analizar, mirándote con el ceño fruncido.","Durante la reunión, te das cuenta de que tu jefe se esfuerza mucho en brindarle comentarios útiles y que ve esto como una forma de brindarle una valiosa oportunidad de aprendizaje.",Tu jefe probablemente piensa que ...,Tienes gran potencial.,Eres incapaz.,https://drive.google.com/file/d/1LeCW8Zaw5qO3kfJKG0mZmeeHjw8dApHc/view?usp=sharing,8.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,,,Positive,El curso difícil,"Te has inscrito en un programa de ciencia de datos ofrecido por tu lugar de trabajo porque crees que será una habilidad útil que podrás adquirir en el futuro. Sabes que la demanda de personas con experiencia en ciencia de datos está aumentando, pero el programa es muy difícil.","Al imaginar cómo te irá en el programa, no te ves fracasando, sino que crees que tus esfuerzos por aprender algunas habilidades de ciencia de datos tendrán éxito.",¿Crees que serás eficaz para adquirir algunas habilidades en ciencia de datos?,Sí,No,https://drive.google.com/file/d/18HsxK2zdx8J0wLQE1QZITsfajDWRjgaX/view?usp=sharing,9.jpg,1,
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Positive,Palabra tropiezo,"Tienes que hacer una presentación sobre tu trabajo a tus compañeros y a tu jefe. Al empezar, te tropiezas con las primeras palabras. Sin embargo, al continuar, crees que tu desempeño será evaluado positivamente.",N/A,¿Crees que a los otros les gustará tu presentación?,Sí,,https://drive.google.com/file/d/1xUVHP-lj26dCvOIiMMMta2bgIGRH5hR9/view?usp=sharing,10.jpg,1,
