Session Number,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title ,Staff scenario body,Staff scenario body #2 (negation scenarios only),Staff comprehension question,Staff correct response,Staff incorrect response,Staff photo link,Letters Missing,Occurrence
1,1,Positive,Academics/Work/Career Development,Social Situations,,The Meeting,You are walking to an important meeting with your supervisor. Suddenly your mind goes blank as you reach for the doorknob to her office. You think about your mind going blank and think that this is normal.,N/A,Is it scary that your mind went blank right before your meeting?,No,,https://drive.google.com/file/d/1v_4FGXs96Yggu3t319aUfGuvOfo--Ji7/view?usp=sharing,1,3
,2,Positive,Academics/Work/Career Development,Mental Health,,A big presentation,You are about to give an important presentation. You are anxious about it. This feeling makes you exhilarated.,N/A,Are you excited about the presentation?,Yes,,https://drive.google.com/file/d/1Isymza3G0kL57wzhqwxZgxIn5utKL9wO/view?usp=sharing,1,3
,3,Resilience/Negation,Academics/Work/Career Development,,,New work opportunity,You are at work and find out that an opportunity for promotion in your department just came up. You think you might be eligible and decide to ask your boss for more details. Your boss tells you that the selection criteria are very strict and that your application will likely be rejected.,"The next day, you bump into your boss in the corridor. You then realize that although your boss thinks you may not be ready for promotion just yet, they strongly believe you are capable of being ready for one next year and are likely to succeed.",Your boss thinks you shouldn't apply for a promotion now because ...,You will be ready for one next year.,You will never be capable.,https://drive.google.com/file/d/1OpOhL2p65K4b_HCgRQpLm16ZlkzUCe2s/view?usp=sharing,1,2
,4,Positive,Academics/Work/Career Development,,,A sudden stumble,"It is your first day at a new job, and you report to your manager. As you approach them, you stumble, then recover. They noticed, and their first impression of you is probably that you are very prepared.",N/A,Your manager will probably think that ...,You are ready to take on challenges.,You are a clumsy person.,https://drive.google.com/file/d/1DttLONiIj8xl29lRpUM8ExKkKo4JbVNe/view?usp=sharing,1,3
,5,Negative,Academics/Work/Career Development,Social Situations,,Showcasing your experience,"Your supervisor calls a meeting tied to a new initiative and asks each attendee in turn to present their ideas and prior experience. When it is your turn to speak, you pause frequently. As you reflect on the meeting later in the day, you feel that the supervisor thought you sounded silly.",N/A,Your supervisor probably found you to be ...,Unprepared and lacking. ,Effective,https://drive.google.com/file/d/1npkE7h685FSS9kM33IyEeOyngro5KOvm/view?usp=sharing,1,3
,6,Positive,Academics/Work/Career Development,,,Noisy Neighbors,"Your neighbors were really loud last night so you couldn't sleep. You have a huge presentation to give to your coworkers this morning on a complicated topic. As you think about how you'll do in the presentation, you feel prepared.",,Are you ready for your presentation?,Yes,,https://drive.google.com/file/d/1HsDUCeU29zHEdpx6zFJUNO-bHxtE6WBU/view?usp=sharing,1,3
,7,Positive,Academics/Work/Career Development,,,Ready to Work,"You have a lot of tasks to finish tomorrow. You've been procrastinating getting them done because they are going to be hard. When you think about whether you will be able to do the work, you think you can.",,Are you going to complete your work?,Yes,,https://drive.google.com/file/d/1ctfYI6TZJr5mbm-BjK9jNskpLStAn1mj/view?usp=sharing,1,3
,8,Resilience/Negation,Academics/Work/Career Development,Social Situations,,Feedback on your work,"You recently turned in a report, and your boss asks to see you about your work. As you walk into their office, they tell you to sit down because there's lots of feedback to go through, and they look at you with a frown.","During the meeting, you realize that your boss is taking great care to give you useful feedback and that they see this as a way to provide you with a valuable learning opportunity.",Your boss probably thinks that ...,You have great potential.,You are incapable.,https://drive.google.com/file/d/1LeCW8Zaw5qO3kfJKG0mZmeeHjw8dApHc/view?usp=sharing,1,3
,9,Positive,Academics/Work/Career Development,,,The Difficult Course,"You have enrolled in a data science program offered by your workplace because you think it will be a useful skill to acquire going forward. You know the demand for people with data science experience is increasing, but the program is very difficult. ","Imagining how you will do in the program, you do not see yourself failing, but instead you believe your efforts to learn some data science skills will be successful.",Do you think you will be effective at picking up some data science skills?,Yes,No,https://drive.google.com/file/d/18HsxK2zdx8J0wLQE1QZITsfajDWRjgaX/view?usp=sharing,1,3
,10,Positive,Academics/Work/Career Development,Social Situations,,Word stumbling,"You have to make a presentation about your work to your colleagues and your boss. As you start, you stumble on your first few words. Continuing with it, you think that your performance will be evaluated positively.",N/A,Do you think others will like your presentation?,Yes,,https://drive.google.com/file/d/1xUVHP-lj26dCvOIiMMMta2bgIGRH5hR9/view?usp=sharing,1,3
2,1,Positive,Academics/Work/Career Development,,,New work opportunity,You are at work and find out that an opportunity for promotion in your department just came up. You think you might be eligible and decide to ask your boss for more details. Your boss tells you that the selection criteria are very strict and that your application will likely be rejected.,"The next day, you bump into your boss in the corridor. You then realize that although your boss thinks you may not be ready for promotion just yet, they strongly believe you are capable of being ready for one next year and are likely to succeed.",Your boss thinks you shouldn't apply for a promotion now because ...,You will be ready for one next year.,You will never be capable.,https://drive.google.com/file/d/1OpOhL2p65K4b_HCgRQpLm16ZlkzUCe2s/view?usp=sharing,1,2
,2,Positive,Academics/Work/Career Development,,,Finishing Work,"You have a project due at work next week. You haven't started it yet because you're unsure how to best complete it. When you think about completing the project on time, you feel confident.",N/A,Are you worried about completing your project on time?,No,,https://drive.google.com/file/d/12ozsRqQm34HuapdP-IpswqSXrE7BODWH/view?usp=sharing,1,2
,3,Negative,Academics/Work/Career Development,,,Writing Project,"Your supervisor asks you to write a report. The finished document is quite brief but took a lot of time and effort. Based on your writing, you expect your supervisor's opinion of you will be negative.",N/A,Your supervisor probably found you to be...,Incapable,Capable,https://drive.google.com/file/d/1ZdlotRy46kMOko2PYg-y4oaDD1yOaad1/view?usp=sharing,1,3
,4,Resilience/Negation,Academics/Work/Career Development,,,Crowd of speech,"You are giving a speech at a convention for work. As you speak, you look into the crowd and notice that your boss’s expression is almost emotionless, but you can make out a slight frown.","After the speech, you realize that people often look emotionless and frown when they are concentrating and focusing hard. You think that your boss was most likely feeling impressed.",Does your boss’s neutral expression mean that they are disappointed with your speech?,No,,https://drive.google.com/file/d/1j_wTSZ6LyYqWqgOAZFYdxFtjd0jBduSd/view?usp=sharing,1,3
,5,Positive,Academics/Work/Career Development,,,Certainty of being correct,"You are having an intellectual discussion with your colleague. On one of the questions they ask you, you are 90% certain that you know the correct answer. When you respond, you feel confident.",N/A,Are you uneasy about your answer?,No,,https://drive.google.com/file/d/1nVCrQvzsMF5KCRUZMiYr0rakkwQqslrO/view?usp=sharing,1,3
,6,Positive,Academics/Work/Career Development,Social Situations,,Prepare to Succeed,"In your meeting today, you have an important presentation. In order to follow your boss's instructions, you must present for 15 minutes. When you think about completing this presentation, you feel prepared.",,Are you able to complete the presentation?,Yes,,https://drive.google.com/file/d/1pQHZTO39FaMtxe96k3wQ-bwUufBsPYvC/view?usp=sharing,1,3
,7,Positive,Academics/Work/Career Development,,,Putting Preparation to the Test,"You have an important presentation today. You've been working hard on it because it is a requirement for your job. When you begin the presentation, you feel prepared.",N/A ,Do you feel ready for your presentation today? ,Yes,,https://drive.google.com/file/d/1MSvkZ7ilWBOwRh_oL2pAafze77-a_M3n/view?usp=sharing,1,2
,8,Positive,Academics/Work/Career Development,,,Poor Performance,"Tonight you find out the results of your yearly performance evaluation at work. Your rankings are low in one category, and you know your supervisor will want to meet with you to discuss your performance. When you think about what your supervisor will say to you, you feel ok.",N/A,Can you handle your department head's reaction to your poor evaluation?,Yes,,https://drive.google.com/file/d/1R2qiJM_IDzSxINZRkJ1oU9N7X9ZhWZBn/view?usp=sharing,1,3
,9,Positive,Academics/Work/Career Development,,,Important visitors,"Some important people are visiting your office, and you are asked to present a project to them. On the day of the presentation, you arrange your slides and mentally prepare yourself. You think the visitors will evaluate your performance as organized.",N/A,Will the visitors be unimpressed with your performance?,No,,https://drive.google.com/file/d/1cJz2W2jQrnpZ4LfT39NhgX0UGBztrPPa/view?usp=sharing,1,3
,10,Resilience/Negation,Academics/Work/Career Development,,,An interview panel,"You are the third and final candidate to be interviewed for a job. The interview panel greets you as you walk into the conference room. When you sit down, you feel your cheeks burning red, and you start to shake. The panel probably sees you as nervous.","After the interview, you realize that it is normal to be nervous during panel interviews. The panelists probably saw you as reasonably calm and enthusiastic.",Do you think the interviewers see you as a nervous person?,No,,https://drive.google.com/file/d/1mTDpifErX2S2EJttSEMaqR6mz1MpzjR7/view?usp=sharing,1,2
3,1,Positive,Academics/Work/Career Development,,,Rearranging After Exposure,"You have a presentation for your department coming up and you’ve been working hard in the hopes that you’ll impress your supervisor. The night before, you find out a friend you had dinner with tested positive for COVID. You think your supervisor will understand and help you arrange to do the presentation safely.",N/A,Will your supervisor penalize you for being exposed?,No,,https://drive.google.com/file/d/1Z-r6oLOiCidGbAjEgRq2EYOz5a33RgN0/view?usp=sharing,1,2
,2,Positive,Academics/Work/Career Development,Family & Home Life,,Approaching Deadline,"You and your partner share a home office. You have a work assignment due tonight but they're using the office. When you think about completing the work on time, you feel confident.",N/A,Will you get your assignment done in time?,Yes,,https://drive.google.com/file/d/1q13omJofjfnPiBpNlEwv-3_ZALGQEk6h/view?usp=sharing,1,3
,3,Resilience/Negation,Academics/Work/Career Development,,,"1, 2, 3. Eyes on Me",You have a big presentation to your boss and other staff members. You know everyone's eyes are on you as you stand in front of the room. You feel nervous.,"You give yourself a moment to collect your thoughts and begin the presentation. During the presentation, you feel prepared.",Are you feeling prepared for your presentation?,Yes,,https://drive.google.com/file/d/1nUDKdq79IsojabL_DGbGTayRJ_gaEEvX/view?usp=sharing,1,2
,4,Positive,Academics/Work/Career Development,,,Getting an Opportunity,"You have submitted an application for a job that you have been hoping to get. You hope to get an interview for the job after they review your application, but you know it is very competitive. With your qualifications, you expect to get a call.",,Your qualifications...,Put you in a good position to get an interview.,Are probably not strong enough to make you stand out.,https://drive.google.com/file/d/1kw58e9iPvU1vOT2PxZuYepma0F30V2qn/view?usp=sharing,1,3
