Title,Text,Input type,Group,Minimum,Maximum,Media,Items,ImageFramed,Timeout,ShowButtons,Answer,Notes or questions,Variable name,Conditions ,Input Name (if you want to save it)
Discrimination ,"We're very sorry to hear you are experiencing stress due to discrimination or marginalization. We recognize that people have different needs following such experiences, so we want to offer a number of tools to help support you at this time.",,"Undergraduate, Graduate, Staff, Faculty",,,,,,,,,,,,
Discrimination ,Here are some tools and resources you might find helpful at this time. Please select one or more of the following options:,Checkbox,"Undergraduate, Graduate, Staff, Faculty",,,,"Journal::Journal - I would like to write down my thoughts and feelings tied to this experience; Reporting:: Reporting - I would like to be provided with resources tied to reporting an instance of discrimination or harassment; Self-Care::Self-Care and Wellness - I would like to be provided with resources tied to self-care and wellness practices that may be helpful following an instance of discrimination, marginalization, or harassment.; Allyship::Allyship - I would like to be provided with resources tied to providing allyship and support to others who have experienced discrimination, marginalization, or harassment.; Community::Community support - I would like to be provided with resources tied to community-building and social support; Activism::Activism - I would like to be provided with resources tied to activism and empowerment; Training::I would like to complete a training session now to practice thinking flexibly in a different domain; ^NotMatched::These resources do not match what I am looking for at this time; ^NotNeeded::I am not looking for any additional resources at this time",,,,,,Discrimination,,Discrimination
Journal,Feel free to use the space below in any way that feels helpful for you:,Entry,Undergraduate,,,,,,,,,,,Discrimination; Journal,journal_entry_discrimination 
Journal,Feel free to use the space below in any way that feels helpful for you:,Entry,Graduate,,,,,,,,,,,Discrimination; Journal,journal_entry_discrimination 
Journal,Feel free to use the space below in any way that feels helpful for you:,Entry,Staff,,,,,,,,,,,Discrimination; Journal,journal_entry_discrimination 
Journal,Feel free to use the space below in any way that feels helpful for you:,Entry,Faculty,,,,,,,,,,,Discrimination; Journal,journal_entry_discrimination 
Reporting,"University Ombuds\n\nOmbuds is an independent, confidential resource that can assist faculty in resolving problems, complaints, conflicts, and other issues.\n\n\n\nTitle IX and Sexual Misconduct\n\nUse this tool to initiate a Title IX or sexual misconduct complaint and/or learn more about the process of filing and the resources that are available to you.\n\n\n\nJust Report It\n\nFaculty, students, staff, and employees may report an incident of bias/discrimination/harassment, hazing, sexual assault, sexual exploitation, intimate partner violence, stalking, sexual or gender-based harassment, complicity, or retaliation using Just Report It, the University's online incident reporting system.\n\n\n\nReporting Discrimination and Harassment\n\nUse this tool to learn more about the process of filing a discrmiination or harassment complaint and/or initiate the process of filing a complaint.\n\n\n\nOffice for Equal Opportunity and Civil Rights\n\nThe UVA Office for Equal Opportunity and Civil Rights (EOCR) works to ensure equal opportunity and protect the civil rights of all University community members. Through EOCR, you can learn more about the process of reporting instances of mistreatment, discrimination, or harassment and initiate the process of reporting if you choose to do so.",,Undergraduate,,,,,,,,,,,Discrimination; Reporting,
Reporting,"University Ombuds\n\nOmbuds is an independent, confidential resource that can assist faculty in resolving problems, complaints, conflicts, and other issues.\n\n\n\nTitle IX and Sexual Misconduct\n\nUse this tool to initiate a Title IX or sexual misconduct complaint and/or learn more about the process of filing and the resources that are available to you.\n\n\n\nJust Report It\n\nFaculty, students, staff, and employees may report an incident of bias/discrimination/harassment, hazing, sexual assault, sexual exploitation, intimate partner violence, stalking, sexual or gender-based harassment, complicity, or retaliation using Just Report It, the University's online incident reporting system.\n\n\n\nReporting Discrimination and Harassment\n\nUse this tool to learn more about the process of filing a discrmiination or harassment complaint and/or initiate the process of filing a complaint.\n\n\n\nOffice for Equal Opportunity and Civil Rights\n\nThe UVA Office for Equal Opportunity and Civil Rights (EOCR) works to ensure equal opportunity and protect the civil rights of all University community members. Through EOCR, you can learn more about the process of reporting instances of mistreatment, discrimination, or harassment and initiate the process of reporting if you choose to do so.",,Graduate,,,,,,,,,,,Discrimination; Reporting,
Reporting,"University Ombuds\n\nOmbuds is an independent, confidential resource that can assist faculty in resolving problems, complaints, conflicts, and other issues.\n\n\n\nTitle IX and Sexual Misconduct\n\nUse this tool to initiate a Title IX or sexual misconduct complaint and/or learn more about the process of filing and the resources that are available to you.\n\n\n\nJust Report It\n\nFaculty, students, staff, and employees may report an incident of bias/discrimination/harassment, hazing, sexual assault, sexual exploitation, intimate partner violence, stalking, sexual or gender-based harassment, complicity, or retaliation using Just Report It, the University's online incident reporting system.\n\n\n\nReporting Discrimination and Harassment\n\nUse this tool to learn more about the process of filing a discrmiination or harassment complaint and/or initiate the process of filing a complaint.\n\n\n\nOffice for Equal Opportunity and Civil Rights\n\nThe UVA Office for Equal Opportunity and Civil Rights (EOCR) works to ensure equal opportunity and protect the civil rights of all University community members. Through EOCR, you can learn more about the process of reporting instances of mistreatment, discrimination, or harassment and initiate the process of reporting if you choose to do so.",,Staff,,,,,,,,,,,Discrimination; Reporting,
Reporting,"University Ombuds\n\nOmbuds is an independent, confidential resource that can assist faculty in resolving problems, complaints, conflicts, and other issues.\n\n\n\nTitle IX and Sexual Misconduct\n\nUse this tool to initiate a Title IX or sexual misconduct complaint and/or learn more about the process of filing and the resources that are available to you.\n\n\n\nJust Report It\n\nFaculty, students, staff, and employees may report an incident of bias/discrimination/harassment, hazing, sexual assault, sexual exploitation, intimate partner violence, stalking, sexual or gender-based harassment, complicity, or retaliation using Just Report It, the University's online incident reporting system.\n\n\n\nReporting Discrimination and Harassment\n\nUse this tool to learn more about the process of filing a discrmiination or harassment complaint and/or initiate the process of filing a complaint.\n\n\n\nOffice for Equal Opportunity and Civil Rights\n\nThe UVA Office for Equal Opportunity and Civil Rights (EOCR) works to ensure equal opportunity and protect the civil rights of all University community members. Through EOCR, you can learn more about the process of reporting instances of mistreatment, discrimination, or harassment and initiate the process of reporting if you choose to do so.",,Faculty,,,,,,,,,,,Discrimination; Reporting,
Self-Care,BIPOC Mental Health and Wellness Resources\n\nCheck out this comprehensive guide for BIPOC mental health and wellness resources compiled by the Women's Center at UVA.\n\n\n\nLGBTQ+ Mental Health and Wellness Resources\n\nCheck out this comprehensive guide for LGBTQ+ mental health and wellness resources compiled by the Women's Center at UVA.\n\n\n\nSister Circle Presents...10 Self-Care Tips for Black Women\n\nLooking to engage in some self-care? Here's 10 ways you can!\n\n\n\nWellness Tools from the Black Emotional and Mental Health Collective\n\nExplore different ways that you can care for your emotional and mental health with these resources compiled by the Black Emotional and Mental Health Collective.,,Undergraduate,,,,,,,,,,,Discrimination; Self-Care,
Self-Care,BIPOC Mental Health and Wellness Resources\n\nCheck out this comprehensive guide for BIPOC mental health and wellness resources compiled by the Women's Center at UVA.\n\n\n\nLGBTQ+ Mental Health and Wellness Resources\n\nCheck out this comprehensive guide for LGBTQ+ mental health and wellness resources compiled by the Women's Center at UVA.\n\n\n\nSister Circle Presents...10 Self-Care Tips for Black Women\n\nLooking to engage in some self-care? Here's 10 ways you can!\n\n\n\nWellness Tools from the Black Emotional and Mental Health Collective\n\nExplore different ways that you can care for your emotional and mental health with these resources compiled by the Black Emotional and Mental Health Collective.,,Graduate,,,,,,,,,,,Discrimination; Self-Care,
